LECROYWR610Zi,62129,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,11-Nov-2021 10:54:01,0                 
Time,Ampl
-2.500432,4.99256
-2.499432,4.95935
-2.498432,4.99256
-2.497432,4.99256
-2.496432,4.99256
-2.495432,5.02577
-2.494432,4.99256
-2.493432,4.99256
-2.492432,4.99256
-2.491432,4.99256
-2.490432,4.99256
-2.489432,5.02577
-2.488432,4.99256
-2.487432,4.99256
-2.486432,5.02577
-2.485432,4.99256
-2.484432,5.02577
-2.483432,4.99256
-2.482432,4.99256
-2.481432,4.95935
-2.480432,4.99256
-2.479432,5.05898
-2.478432,4.95935
-2.477432,4.99256
-2.476432,5.02577
-2.475432,4.99256
-2.474432,4.99256
-2.473432,5.02577
-2.472432,4.99256
-2.471432,5.02577
-2.470432,4.95935
-2.469432,4.95935
-2.468432,4.99256
-2.467432,4.99256
-2.466432,4.95935
-2.465432,4.99256
-2.464432,4.99256
-2.463432,4.99256
-2.462432,4.92614
-2.461432,4.92614
-2.460432,4.95935
-2.459432,4.99256
-2.458432,4.99256
-2.457432,4.99256
-2.456432,4.99256
-2.455432,4.99256
-2.454432,5.02577
-2.453432,4.95935
-2.452432,4.95935
-2.451432,5.02577
-2.450432,4.92614
-2.449432,4.99256
-2.448432,4.99256
-2.447432,4.99256
-2.446432,4.99256
-2.445432,4.99256
-2.444432,5.02577
-2.443432,4.99256
-2.442432,4.95935
-2.441432,4.99256
-2.440432,4.99256
-2.439432,5.02577
-2.438432,4.99256
-2.437432,5.02577
-2.436432,4.99256
-2.435432,5.02577
-2.434432,4.95935
-2.433432,4.99256
-2.432432,5.02577
-2.431432,4.99256
-2.430432,4.99256
-2.429432,4.99256
-2.428432,4.99256
-2.427432,4.99256
-2.426432,5.02577
-2.425432,4.99256
-2.424432,4.99256
-2.423432,4.99256
-2.422432,5.02577
-2.421432,4.99256
-2.420432,4.99256
-2.419432,4.99256
-2.418432,4.99256
-2.417432,4.95935
-2.416432,4.99256
-2.415432,4.95935
-2.414432,5.02577
-2.413432,4.99256
-2.412432,4.92614
-2.411432,4.99256
-2.410432,4.99256
-2.409432,4.99256
-2.408432,4.99256
-2.407432,4.99256
-2.406432,4.99256
-2.405432,4.99256
-2.404432,5.02577
-2.403432,4.95935
-2.402432,4.99256
-2.401432,4.99256
-2.400432,4.99256
-2.399432,4.99256
-2.398432,4.99256
-2.397432,5.02577
-2.396432,4.99256
-2.395432,4.99256
-2.394432,5.02577
-2.393432,4.99256
-2.392432,4.99256
-2.391432,4.99256
-2.390432,4.99256
-2.389432,5.02577
-2.388432,4.99256
-2.387432,4.99256
-2.386432,5.02577
-2.385432,4.95935
-2.384432,4.95935
-2.383432,4.99256
-2.382432,0.110786
-2.381432,0.0443677
-2.380432,0.077577
-2.379432,0.0111583
-2.378432,0.0443677
-2.377432,0.0443677
-2.376432,0.0443677
-2.375432,0.0111583
-2.374432,0.0443677
-2.373432,0.0111583
-2.372432,0.0443677
-2.371432,0.0443677
-2.370432,0.0111583
-2.369432,0.0111583
-2.368432,0.0111583
-2.367432,0.0443677
-2.366432,0.0111583
-2.365432,0.0111583
-2.364432,0.0111583
-2.363432,0.0111583
-2.362432,0.0111583
-2.361432,0.0111583
-2.360432,0.0111583
-2.359432,4.89293
-2.358432,4.89293
-2.357432,4.89293
-2.356432,4.89293
-2.355432,4.92614
-2.354432,4.95935
-2.353432,4.95935
-2.352432,4.99256
-2.351432,4.99256
-2.350432,4.95935
-2.349432,4.99256
-2.348432,4.92614
-2.347432,4.95935
-2.346432,4.99256
-2.345432,4.99256
-2.344432,4.99256
-2.343432,4.99256
-2.342432,5.02577
-2.341432,5.02577
-2.340432,4.95935
-2.339432,4.95935
-2.338432,5.02577
-2.337432,5.02577
-2.336432,4.99256
-2.335432,4.99256
-2.334432,4.99256
-2.333432,4.95935
-2.332432,5.02577
-2.331432,5.02577
-2.330432,4.95935
-2.329432,4.99256
-2.328432,4.99256
-2.327432,4.99256
-2.326432,4.99256
-2.325432,4.99256
-2.324432,4.99256
-2.323432,5.02577
-2.322432,4.95935
-2.321432,5.02577
-2.320432,4.95935
-2.319432,4.95935
-2.318432,4.99256
-2.317432,4.99256
-2.316432,4.95935
-2.315432,4.99256
-2.314432,4.95935
-2.313432,5.02577
-2.312432,4.99256
-2.311432,4.99256
-2.310432,4.99256
-2.309432,4.99256
-2.308432,4.99256
-2.307432,5.02577
-2.306432,4.99256
-2.305432,5.02577
